id;title;description;image;image_content_type;taken
1;ADP Mountain Metal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-13T12:08:36
2;Markets;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-14T03:21:24
3;Buckinghamshire Chief Direct;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-13T12:56:58
4;Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-13T22:46:56
5;Steel Zloty;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-14T08:51:57
6;Macao Security;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-14T07:17:09
7;withdrawal;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-13T16:17:24
8;compress Toys Auto Loan Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-14T09:22:04
9;Park Assurance Savings Account;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-14T01:49:26
10;parsing Frozen;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2020-05-14T09:20:25
